hpi_type,hpi_flavor,frequency,level,place_name,place_id,yr,period,index_nsa,index_sa,"Gross domestic product, constant prices","Gross domestic product per capita, constant prices","Gross domestic product per capita, current prices",Gross domestic product based on purchasing-power-parity (PPP) share of world total,"Inflation, average consumer prices",Volume of imports of goods and services,Volume of exports of goods and services,Unemployment rate,Current account balance,Date,GSPC.Close
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1991,1,100,100,-0.108,36944.07,24302.78,20.985,4.216,-0.151,6.612,6.85,0.047,01-01-1991,343.9299927
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1991,2,100.89,100.95,-0.108,36944.07,24302.78,20.985,4.216,-0.151,6.612,6.85,0.047,01-02-1991,367.0700073
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1991,3,101.3,100.92,-0.108,36944.07,24302.78,20.985,4.216,-0.151,6.612,6.85,0.047,01-03-1991,375.2200012
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1991,4,101.69,100.98,-0.108,36944.07,24302.78,20.985,4.216,-0.151,6.612,6.85,0.047,01-04-1991,375.3399963
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1991,5,102.31,101.36,-0.108,36944.07,24302.78,20.985,4.216,-0.151,6.612,6.85,0.047,01-05-1991,389.8299866
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1991,6,102.77,101.5,-0.108,36944.07,24302.78,20.985,4.216,-0.151,6.612,6.85,0.047,01-06-1991,371.1600037
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1991,7,102.96,101.84,-0.108,36944.07,24302.78,20.985,4.216,-0.151,6.612,6.85,0.047,01-07-1991,387.8099976
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1991,8,103.12,102.03,-0.108,36944.07,24302.78,20.985,4.216,-0.151,6.612,6.85,0.047,01-08-1991,395.4299927
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1991,9,102.85,101.99,-0.108,36944.07,24302.78,20.985,4.216,-0.151,6.612,6.85,0.047,01-09-1991,387.8599854
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1991,10,103.06,102.33,-0.108,36944.07,24302.78,20.985,4.216,-0.151,6.612,6.85,0.047,01-10-1991,392.4500122
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1991,11,103.97,103.34,-0.108,36944.07,24302.78,20.985,4.216,-0.151,6.612,6.85,0.047,01-11-1991,375.2200012
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1991,12,103.72,103.39,-0.108,36944.07,24302.78,20.985,4.216,-0.151,6.612,6.85,0.047,01-12-1991,417.0899963
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1992,1,103.86,103.88,3.522,37741.19,25392.93,19.559,3.042,7.013,6.927,7.492,-0.792,01-01-1992,408.7799988
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1992,2,104.35,104.4,3.522,37741.19,25392.93,19.559,3.042,7.013,6.927,7.492,-0.792,01-02-1992,412.7000122
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1992,3,105.51,105.14,3.522,37741.19,25392.93,19.559,3.042,7.013,6.927,7.492,-0.792,01-03-1992,403.6900024
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1992,4,105.91,105.19,3.522,37741.19,25392.93,19.559,3.042,7.013,6.927,7.492,-0.792,01-04-1992,414.9500122
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1992,5,106.51,105.52,3.522,37741.19,25392.93,19.559,3.042,7.013,6.927,7.492,-0.792,01-05-1992,415.3500061
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1992,6,106.91,105.56,3.522,37741.19,25392.93,19.559,3.042,7.013,6.927,7.492,-0.792,01-06-1992,408.1400146
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1992,7,107.12,105.94,3.522,37741.19,25392.93,19.559,3.042,7.013,6.927,7.492,-0.792,01-07-1992,424.2099915
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1992,8,107.57,106.42,3.522,37741.19,25392.93,19.559,3.042,7.013,6.927,7.492,-0.792,01-08-1992,414.0299988
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1992,9,107.57,106.67,3.522,37741.19,25392.93,19.559,3.042,7.013,6.927,7.492,-0.792,01-09-1992,417.7999878
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1992,10,108.17,107.37,3.522,37741.19,25392.93,19.559,3.042,7.013,6.927,7.492,-0.792,01-10-1992,418.6799927
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1992,11,108.39,107.75,3.522,37741.19,25392.93,19.559,3.042,7.013,6.927,7.492,-0.792,01-11-1992,431.3500061
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1992,12,108.75,108.41,3.522,37741.19,25392.93,19.559,3.042,7.013,6.927,7.492,-0.792,01-12-1992,435.7099915
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1993,1,108.45,108.52,2.752,38277.58,26364.19,19.716,2.97,8.646,3.268,6.908,-1.237,01-01-1993,438.7799988
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1993,2,108.31,108.34,2.752,38277.58,26364.19,19.716,2.97,8.646,3.268,6.908,-1.237,01-02-1993,443.3800049
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1993,3,109.26,108.92,2.752,38277.58,26364.19,19.716,2.97,8.646,3.268,6.908,-1.237,01-03-1993,451.6700134
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,1993,4,110.2,109.43,2.752,38277.58,26364.19,19.716,2.97,8.646,3.268,6.908,-1.237,01-04-1993,440.1900024
